CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"2170, Av. Brigadeiro Faria Lima",São José dos Campos,SP,Brazil,12227-000,55-12-3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br
2,Leonie,Köhler,Sin compañia,"34, Theodor-Heuss-Straße",Stuttgart,BW,Germany,70174,49-0711-2842222,No registrado,leonekohler@surfeu.de
3,François,Tremblay,Sin compañia,"1498, rue Bélanger",Montréal,QC,Canada,H2G 1A7,1-514-721-4711,No registrado,ftremblay@gmail.com
4,Bjørn,Hansen,Sin compañia,"14, Ullevålsveien",Oslo,OS,Norway,0171,47-22-44-22-22,No registrado,bjorn.hansen@yahoo.no
5,František,Wichterlová,JetBrains s.r.o.,Klanova 9/506,Prague,PR,Czech Republic,14700,420-2-4172-5555,+420 2 4172 5555,frantisekw@jetbrains.com
6,Helena,Holý,Sin compañia,Rilská 3174/6,Prague,PR,Czech Republic,14300,420-2-4177-0449,No registrado,hholy@gmail.com
7,Astrid,Gruber,Sin compañia,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,VI,Austria,1010,43-01-5134505,No registrado,astrid.gruber@apple.at
8,Daan,Peeters,Sin compañia,"63, Grétrystraat",Brussels,No aplica,Belgium,1000,32-02-219-03-03,No registrado,daan_peeters@apple.be
9,Kara,Nielsen,Sin compañia,"51, Sønder Boulevard",Copenhagen,No aplica,Denmark,1720,453-3331-9991,No registrado,kara.nielsen@jubii.dk
10,Eduardo,Martins,Woodstock Discos,"155, Rua Dr. Falcão Filho",São Paulo,SP,Brazil,01007-010,55-11-3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br
11,Alexandre,Rocha,Banco do Brasil S.A.,"2022, Av. Paulista",São Paulo,SP,Brazil,01310-200,55-11-3055-3278,+55 (11) 3055-8131,alero@uol.com.br
12,Roberto,Almeida,Riotur,"119, Praça Pio X",Rio de Janeiro,RJ,Brazil,20040-020,55-21-2271-7000,+55 (21) 2271-7070,roberto.almeida@riotur.gov.br
13,Fernanda,Ramos,Sin compañia,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,55-61-3363-5547,+55 (61) 3363-7855,fernadaramos4@uol.com.br
14,Mark,Philips,Telus,"8210, 111 ST NW",Edmonton,AB,Canada,T6G 2C7,1-780-434-4554,+1 (780) 434-5565,mphilips12@shaw.ca
15,Jennifer,Peterson,Rogers Canada,"700, W Pender Street",Vancouver,BC,Canada,V6C 1G8,1-604-688-2255,+1 (604) 688-8756,jenniferp@rogers.ca
16,Frank,Harris,Google Inc.,"1600, Amphitheatre Parkway",Mountain View,CA,USA,94043-1351,1-650-253-0000,+1 (650) 253-0000,fharris@google.com
17,Jack,Smith,Microsoft Corporation,"1, Microsoft Way",Redmond,WA,USA,98052-8300,1-425-882-8080,+1 (425) 882-8081,jacksmith@microsoft.com
18,Michelle,Brooks,Sin compañia,"627, Broadway",New York,NY,USA,10012-2612,1-212-221-3546,+1 (212) 221-4679,michelleb@aol.com
19,Tim,Goyer,Apple Inc.,"1, Infinite Loop",Cupertino,CA,USA,95014,1-408-996-1010,+1 (408) 996-1011,tgoyer@apple.com
20,Dan,Miller,Sin compañia,"541, Del Medio Avenue",Mountain View,CA,USA,94040-111,1-650-644-3358,No registrado,dmiller@comcast.com
21,Kathy,Chase,Sin compañia,"801, W 4th Street",Reno,NV,USA,89503,1-775-223-7665,No registrado,kachase@hotmail.com
22,Heather,Leacock,Sin compañia,"120, S Orange Ave",Orlando,FL,USA,32801,1-407-999-7788,No registrado,hleacock@gmail.com
23,John,Gordon,Sin compañia,"69, Salem Street",Boston,MA,USA,2113,1-617-522-1333,No registrado,johngordon22@yahoo.com
24,Frank,Ralston,Sin compañia,"162, E Superior Street",Chicago,IL,USA,60611,1-312-332-3232,No registrado,fralston@gmail.com
25,Victor,Stevens,Sin compañia,"319, N. Frances Street",Madison,WI,USA,53703,1-608-257-0597,No registrado,vstevens@yahoo.com
26,Richard,Cunningham,Sin compañia,"2211, W Berry Street",Fort Worth,TX,USA,76110,1-817-924-7272,No registrado,ricunningham@hotmail.com
27,Patrick,Gray,Sin compañia,"1033, N Park Ave",Tucson,AZ,USA,85719,1-520-622-4200,No registrado,patrick.gray@aol.com
28,Julia,Barnett,Sin compañia,"302, S 700 E",Salt Lake City,UT,USA,84102,1-801-531-7272,No registrado,jubarnett@gmail.com
29,Robert,Brown,Sin compañia,"796, Dundas Street West",Toronto,ON,Canada,M6J 1V1,1-416-363-8888,No registrado,robbrown@shaw.ca
30,Edward,Francis,Sin compañia,"230, Elgin Street",Ottawa,ON,Canada,K2P 1L7,1-613-234-3322,No registrado,edfrancis@yachoo.ca
31,Martha,Silk,Sin compañia,"194A, Chain Lake Drive",Halifax,NS,Canada,B3S 1C5,1-902-450-0450,No registrado,marthasilk@gmail.com
32,Aaron,Mitchell,Sin compañia,"696, Osborne Street",Winnipeg,MB,Canada,R3L 2B9,1-204-452-6452,No registrado,aaronmitchell@yahoo.ca
33,Ellie,Sullivan,Sin compañia,"5112, 48 Street",Yellowknife,NT,Canada,X1A 1N6,1-867-920-2233,No registrado,ellie.sullivan@shaw.ca
34,João,Fernandes,Sin compañia,"53, Rua da Assunção",Lisbon,No aplica,Portugal,1100-042,351-213-466-111,No registrado,jfernandes@yahoo.pt
35,Madalena,Sampaio,Sin compañia,"4350, Rua dos Campeões Europeus de Viena",Porto,No aplica,Portugal,4350-414,351-225-022-448,No registrado,masampaio@sapo.pt
36,Hannah,Schneider,Sin compañia,"8, Tauentzienstraße",Berlin,BE,Germany,10789,49-030-26550280,No registrado,hannah.schneider@yahoo.de
37,Fynn,Zimmermann,Sin compañia,"10, Berger Straße",Frankfurt,HE,Germany,60316,49-069-40598889,No registrado,fzimmermann@yahoo.de
38,Niklas,Schröder,Sin compañia,"19, Barbarossastraße",Berlin,BE,Germany,10779,49-030-2141444,No registrado,nschroder@surfeu.de
39,Camille,Bernard,Sin compañia,"4, Rue Milton",Paris,No aplica,France,75009,33-01-49-70-65-65,No registrado,camille.bernard@yahoo.fr
40,Dominique,Lefebvre,Sin compañia,"8, Rue Hanovre",Paris,No aplica,France,75002,33-01-47-42-71-71,No registrado,dominiquelefebvre@gmail.com
41,Marc,Dubois,Sin compañia,"11, Place Bellecour",Lyon,No aplica,France,69002,33-04-78-30-30-30,No registrado,marc.dubois@hotmail.com
